price,brand,resolution,screen_size,level_1_model,processor_speed,ram,warranty,hdd_exist,ssd_exist,graphic_card_exist,storage
3055.08,dell,hd,14.0,latitude,2.3,32.0,0,0,1,0,2048.0
1599.0,lenovo,fhd,12.5,thinkpad,1.7,16.0,1,0,1,1,256.0
1099.0,lenovo,fhd,14.0,ideapad,1.0,8.0,1,0,1,1,512.0
249.0,hp,hd,11.6,chromebook,1.6,4.0,1,0,1,1,32.0
349.0,hp,hd,11.6,chromebook,1.1,8.0,1,0,1,1,64.0
1599.0,hp,fhd,13.3,elitebook,1.9,16.0,1,0,1,1,128.0
349.0,hp,hd,14.0,chromebook,1.1,8.0,1,0,1,1,64.0
1099.0,hp,fhd,13.3,envy,3.7,8.0,1,0,1,1,512.0
1099.0,hp,fhd,13.3,probook,1.6,8.0,1,0,1,1,512.0
999.0,lenovo,fhd,14.0,yoga,1.6,8.0,1,0,1,1,256.0
899.0,lenovo,hd,15.6,thinkpad,2.2,8.0,1,0,1,1,512.0
399.0,asus,hd,14.0,chromebook,2.5,4.0,1,0,1,1,64.0
1099.0,lenovo,fhd,14.0,thinkpad,1.6,8.0,1,0,1,1,512.0
899.0,lenovo,fhd,15.0,ideapad,2.3,16.0,1,1,0,1,2000.0
999.0,lenovo,fhd,14.0,thinkpad,1.6,16.0,1,0,1,1,256.0
2399.0,lenovo,fhd,15.6,thinkpad,2.5,8.0,1,0,1,1,512.0
349.0,hp,hd,11.6,chromebook,1.1,8.0,1,0,1,1,64.0
1298.0,lenovo,fhd,13.3,thinkpad,1.8,16.0,1,0,1,1,512.0
1099.0,asuspro,hd,14.0,p1440fa-fq1991r,1.6,8.0,1,0,1,1,256.0
299.0,asus,hd,11.6,vivobook,2.6,4.0,1,0,1,1,64.0
349.0,asus,hd,14.0,chromebook,2.4,4.0,1,0,1,1,32.0
2699.0,hp,fhd,15.6,zbook,2.6,64.0,1,0,1,1,512.0
3999.0,hp,fhd,15.6,zbook,2.4,16.0,1,0,1,1,256.0
349.0,asus,hd,11.6,vivobook,2.5,4.0,1,0,1,1,64.0
299.0,hp,fhd,14.0,chromebook,1.8,4.0,1,0,1,1,64.0
699.0,lenovo,fhd,14.0,ideapad,1.6,8.0,1,0,1,1,512.0
1598.0,lenovo,fhd,14.0,thinkpad,1.8,8.0,1,0,1,1,512.0
1899.0,lenovo,fhd,14.0,thinkpad,1.8,16.0,1,0,1,1,1000.0
1299.0,lenovo,fhd,14.0,thinkpad,1.6,8.0,1,0,1,1,1000.0
1499.0,hp,fhd,13.3,elitebook,1.6,16.0,1,0,1,1,512.0
849.0,lenovo,fhd,13.3,ideapad,1.6,8.0,1,0,1,1,512.0
2599.0,lenovo,fhd,14.0,thinkpad,1.8,16.0,1,0,1,1,1000.0
949.0,hp,fhd,14.0,elite,1.8,8.0,1,0,1,1,256.0
1999.0,asus,fhd,15.6,rog,2.8,24.0,1,0,1,1,512.0
1099.0,asus,fhd,14.0,zenbook,2.3,16.0,1,0,1,1,512.0
499.0,asus,hd,11.6,chromebook,1.1,4.0,1,0,1,1,32.0
649.0,lenovo,fhd,13.0,thinkpad,2.3,8.0,1,0,1,1,256.0
643.0,lenovo,hd,14.0,thinkpad,2.3,8.0,1,1,0,0,500.0
649.0,dell,fhd,12.5,latitude,2.6,8.0,1,0,1,1,512.0
1029.0,lenovo,fhd,13.3,thinkpad,2.6,8.0,1,0,1,1,256.0
809.0,dell,qhd,14.0,latitude,2.6,8.0,1,0,1,0,256.0
849.0,dell,fhd,14.0,latitude,2.4,8.0,1,0,1,0,256.0
528.0,lenovo,hd,14.0,thinkpad,2.9,8.0,1,1,0,0,500.0
649.0,dell,fhd,13.0,latitude,2.6,8.0,1,0,1,1,128.0
459.0,lenovo,hd,12.5,thinkpad,2.1,4.0,1,1,0,0,500.0
1269.0,apple,qwxga+,13.0,macbook pro,3.1,16.0,1,0,1,0,256.0
528.0,dell,hd,12.5,latitude,2.6,8.0,1,0,1,0,256.0
919.0,dell,qhd,14.0,latitude,2.6,8.0,1,1,0,0,500.0
574.0,hp,hd,14.0,elitebook,2.3,4.0,1,1,0,0,500.0
459.0,lenovo,hd,15.6,thinkpad,2.6,8.0,1,1,0,0,500.0
574.0,hp,hd,12.5,elitebook,2.2,4.0,1,0,1,0,256.0
1110.0,hp,hd,13.3,elitebook,1.6,8.0,1,0,1,1,512.0
620.0,lenovo,fhd,14.0,thinkpad,2.3,8.0,1,0,1,0,240.0
719.0,dell,fhd,15.0,inspiron,1.6,8.0,1,0,1,1,256.0
569.0,dell,fhd,12.5,latitude,2.6,8.0,1,0,1,1,256.0
929.0,lenovo,fhd,14.0,thinkpad,2.6,8.0,1,0,1,1,256.0
689.0,lenovo,fhd,14.0,thinkpad,2.6,8.0,1,0,1,0,256.0
597.0,lenovo,hd,12.5,thinkpad,2.3,8.0,1,1,0,0,500.0
758.0,dell,hd,14.0,latitude,2.6,8.0,1,0,1,0,256.0
1299.0,asus,fhd,13.3,zenbook,1.8,16.0,1,0,1,1,512.0
597.0,dell,fhd,14.0,latitude,2.1,8.0,1,0,1,0,256.0
540.0,lenovo,hd,12.5,thinkpad,2.3,4.0,1,1,0,0,500.0
499.0,dell,fhd,14.0,latitude,2.6,8.0,1,0,1,1,256.0
439.0,lenovo,hd,14.0,thinkpad,2.9,8.0,1,1,0,0,500.0
429.0,fujitsu,hd,14.0,lifebook,2.3,8.0,1,0,1,0,128.0
459.0,lenovo,hd,12.5,thinkpad,2.1,4.0,1,0,1,0,128.0
849.0,lenovo,fhd,14.0,thinkpad,2.4,8.0,1,0,1,0,256.0
586.0,lenovo,hd,14.0,thinkpad,2.3,4.0,1,1,0,0,500.0
688.0,lenovo,fhd,15.6,thinkpad,2.4,8.0,1,1,0,0,500.0
1529.0,hp,fhd,15.6,zbook,2.7,32.0,1,1,1,1,1536.0
599.0,dell,fhd,12.5,latitude,2.6,8.0,1,0,1,1,128.0
643.0,lenovo,fhd,14.0,thinkpad,1.6,8.0,1,0,1,0,240.0
949.0,hp,fhd+,14.0,elitebook,2.6,8.0,1,0,1,1,256.0
1149.0,lenovo,fhd,15.0,thinkpad,1.8,8.0,1,0,1,1,256.0
649.0,dell,fhd,14.0,latitude,2.6,8.0,1,0,1,1,256.0
450.0,acer,hd,14.0,travelmate p248-m,2.3,8.0,1,0,1,1,480.0
370.0,dell,hd,14.0,latitude,1.9,4.0,1,1,0,0,500.0
225.0,dell,hd,13.3,latitude,2.5,4.0,1,1,1,1,576.0
255.0,dell,hd,13.3,latitude,2.4,4.0,1,1,0,0,500.0
285.0,dell,hd,14.0,latitude,2.6,8.0,1,0,1,0,120.0
380.0,dell,hd,14.0,latitude,2.5,4.0,1,1,0,0,500.0
310.0,dell,hd,15.6,latitude,2.6,4.0,1,1,0,0,320.0
330.0,dell,hd,15.6,latitude,2.7,4.0,1,1,0,0,320.0
425.0,dell,hd,14.0,latitude,2.3,4.0,1,1,0,1,500.0
480.0,hp,hd,13.3,probook,1.7,8.0,1,1,0,0,500.0
549.99,lenovo,hd,13.3,thinkpad,2.3,4.0,1,0,1,0,125.0
430.0,lenovo,hd+,14.0,thinkpad,3.1,4.0,1,1,0,0,500.0
310.0,lenovo,hd+,14.0,thinkpad,2.9,4.0,1,1,0,0,320.0
375.0,lenovo,hd,14.0,thinkpad,2.6,8.0,1,0,1,0,120.0
840.0,lenovo,fhd,14.0,thinkpad,2.8,8.0,1,0,1,1,256.0
300.0,lenovo,hd,12.5,thinkpad,2.6,4.0,1,1,1,0,448.0
370.0,lenovo,hd,12.5,thinkpad,2.6,8.0,1,1,0,1,500.0
999.0,msi,fhd,17.3,ge72,2.6,16.0,1,1,1,0,1152.0
270.0,panasonic,hd,11.6,toughbook,1.8,4.0,1,0,1,1,128.0
325.0,lenovo,hd,12.5,thinkpad,1.6,4.0,1,1,0,1,500.0
1230.0,apple,wqxga,13.3,macbook pro,2.6,16.0,1,0,1,0,256.0
370.0,dell,hd,14.0,latitude,1.9,4.0,1,1,0,0,500.0
310.0,dell,hd,15.6,latitude,2.6,4.0,1,1,0,0,320.0
330.0,dell,hd,15.6,latitude,2.7,4.0,1,1,0,0,320.0
425.0,dell,hd,14.0,latitude,2.3,4.0,1,1,0,0,500.0
549.99,lenovo,hd,13.3,thinkpad,2.3,4.0,1,0,1,0,125.0
430.0,lenovo,hd,14.0,thinkpad,3.1,4.0,1,1,0,0,500.0
300.0,lenovo,hd,12.5,thinkpad,2.6,4.0,1,1,0,0,320.0
370.0,lenovo,hd,12.5,thinkpad,2.6,8.0,1,1,0,0,500.0
360.0,dell,hd,12.5,latitude,2.0,8.0,1,0,1,0,128.0
380.0,dell,hd+,14.0,latitude,2.0,4.0,1,0,0,0,0.0
600.0,dell,fhd,14.0,latitude,3.4,8.0,1,0,1,0,256.0
650.0,dell,fhd,14.0,latitude,2.4,8.0,1,0,1,0,256.0
315.0,dell,hd,14.0,vostro,2.6,4.0,1,1,0,0,500.0
400.0,hp,qhd+,13.3,chromebook,1.1,16.0,1,0,0,1,0.0
350.0,hp,hd,12.5,elitebook,2.5,4.0,1,1,0,0,500.0
650.0,hp,hd,12.5,elitebook,2.5,8.0,1,0,1,1,256.0
540.99,hp,fhd,14.0,elitebook,2.6,8.0,1,0,1,1,128.0
420.0,hp,fhd,14.0,elitebook,2.6,4.0,1,0,0,1,0.0
315.0,hp,hd,14.0,elitebook,2.53,4.0,1,0,0,0,0.0
430.0,hp,sxga,15.6,pavilion,2.3,4.0,1,1,0,0,730.0
490.0,hp,hd,13.3,probook,2.3,8.0,1,0,1,0,500.0
439.0,lenovo,hd,11.6,ideapad,2.8,4.0,1,0,0,0,0.0
425.0,lenovo,hd,14.0,thinkpad,2.3,8.0,1,0,1,0,256.0
620.0,lenovo,fhd,14.0,thinkpad,2.6,20.0,1,0,1,0,256.0
649.0,lenovo,fhd,14.0,thinkpad,2.6,4.0,1,0,1,0,240.0
1260.0,lenovo,fhd,14.0,thinkpad,2.6,16.0,1,0,1,1,256.0
1370.0,lenovo,fhd,14.0,thinkpad,2.6,16.0,1,0,1,1,240.0
310.0,lenovo,hd,12.5,thinkpad,2.3,8.0,1,1,1,0,740.0
410.0,lenovo,hd,12.5,thinkpad,2.2,8.0,1,0,0,0,0.0
282.0,lenovo,wxga+,12.1,x201,2.53,4.0,1,1,0,0,320.0
550.0,toshiba,fhd,15.6,tecra,2.6,8.0,1,0,1,0,256.0
650.0,toshiba,fhd,15.6,tecra,2.6,8.0,1,0,1,0,512.0
500.0,hp,hd,13.3,probook,1.7,8.0,0,0,0,0,0.0
360.0,dell,hd,12.5,latitude,2.0,8.0,1,0,1,0,128.0
380.0,dell,hd,14.0,latitude,2.0,4.0,1,0,0,0,0.0
600.0,dell,fhd,14.0,latitude,3.4,8.0,1,0,1,0,256.0
315.0,dell,hd,14.0,vostro,2.6,4.0,1,1,0,0,500.0
400.0,hp,qhd+,13.3,chromebook,1.1,16.0,1,0,0,1,0.0
540.99,hp,fhd,14.0,elitebook,2.6,8.0,1,0,1,1,128.0
420.0,hp,fhd,14.0,elitebook,2.6,4.0,1,0,0,1,0.0
490.0,hp,hd,13.3,probook,2.3,8.0,1,0,1,0,500.0
425.0,lenovo,hd,14.0,thinkpad,2.3,8.0,1,0,1,0,256.0
310.0,lenovo,hd,14.0,thinkpad,2.9,4.0,1,1,0,0,320.0
1260.0,lenovo,fhd,14.0,thinkpad,2.6,16.0,1,0,1,1,256.0
1370.0,lenovo,fhd,14.0,thinkpad,2.6,16.0,1,0,1,1,240.0
650.0,toshiba,fhd,15.6,tecra,2.6,8.0,1,0,1,0,512.0
649.49,asus,fhd,13.3,zenbook,1.9,4.0,0,0,1,0,256.0
932.73,hp,fhd,15.6,notebook,2.3,8.0,0,0,1,1,256.0
1115.62,acer,fhd,15.6,nitro,2.4,8.0,0,0,1,1,256.0
1074.2,lenovo,fhd,13.3,yoga,4.6,16.0,0,0,1,0,256.0
697.88,lenovo,hd,14.0,thinkpad,2.53,4.0,1,1,0,0,128.0
853.93,hp,fhd,14.0,notebook,1.6,4.0,0,0,1,1,256.0
449.0,dell,hd+,14.0,latitude,2.5,8.0,0,0,1,0,240.0
699.89,lenovo,hd,12.5,thinkpad,2.6,4.0,1,1,0,1,512.0
816.55,hp,hd,15.6,elitebook,2.5,8.0,1,1,0,1,128.0
539.19,asus,fhd,12.5,chromebook,0.9,4.0,0,0,0,0,0.0
1815.04,msi,fhd,17.3,gf75,4.7,8.0,0,0,1,1,512.0
1000.08,hp,fhd,14.0,laptop,1.3,8.0,0,0,1,0,512.0
888.99,lenovo,fhd,14.0,ideapad,3.6,8.0,0,0,1,0,256.0
863.21,lenovo,hd,12.5,thinkpad,2.6,4.0,1,1,0,1,128.0
1279.16,hp,fhd,15.6,pavilion,2.3,16.0,0,0,1,1,512.0
1208.57,dell,fhd,15.6,inspiron,2.7,16.0,0,1,0,1,2048.0
839.44,asus,fhd,13.3,zenbook,1.1,8.0,0,0,1,0,256.0
345.0,panasonic,hd,12.5,toughbook,1.9,4.0,0,0,1,0,128.0
611.17,acer,fhd,14.0,swift,2.3,4.0,0,0,1,0,128.0
888.99,hp,fhd,15.6,laptop,1.0,4.0,0,0,1,0,256.0
545.72,asus,fhd,13.3,zenbook,0.9,8.0,0,0,1,0,128.0
785.76,hp,fhd,14.0,laptop,2.1,8.0,0,0,1,0,256.0
851.95,hp,fhd,14.0,laptop,1.6,4.0,0,0,1,0,256.0
245.0,dell,hd,14.1,latitude,2.53,4.0,0,1,0,0,160.0
1471.64,medion,fhd,15.6,erazer,2.6,8.0,0,0,1,1,512.0
981.59,asus,fhd,13.3,vivobook,4.1,8.0,0,0,1,0,512.0
1298.0,asus,fhd,13.3,zenbook,1.8,16.0,1,0,1,1,1000.0
1249.0,gigabyte,fhd,17.3,p57v6,2.6,16.0,1,0,1,1,512.0
549.0,toshiba,hd,14.0,tecra,2.1,8.0,1,0,1,1,256.0
1299.0,apple,qhd,12.0,macbook,1.1,8.0,1,0,1,1,256.0
1899.0,apple,wqxga,13.3,macbook pro,2.3,8.0,1,0,1,1,512.0
389.0,apple,wxga+,13.3,macbook air,1.3,4.0,1,0,1,1,128.0
489.0,apple,wxga+,13.3,macbook air,1.3,4.0,1,0,1,1,128.0
799.0,dell,fhd,15.6,precision,2.2,16.0,1,0,1,1,512.0
799.0,lenovo,fhd,14.0,ideapad,1.8,8.0,1,0,1,1,512.0
199.0,microsoft,hd,10.6,surface,1.3,2.0,1,0,1,0,32.0
999.0,apple,wqxga,13.3,macbook pro,2.7,8.0,1,0,1,1,256.0
1298.0,asus,fhd,14.0,vivobook,1.3,8.0,1,0,1,1,1000.0
759.0,apple,wxga+,13.3,macbook air,1.6,8.0,1,0,1,1,256.0
1099.0,asus,wqhd,12.6,transformer,2.5,16.0,1,0,1,1,512.0
699.0,lenovo,hd,14.0,ideapad,2.5,12.0,1,0,1,1,256.0
1149.0,aftershock,fhd,15.6,p650rp,2.6,16.0,1,0,1,1,500.0
1799.0,apple,wqxga,13.3,macbook pro,2.3,8.0,1,0,1,1,256.0
439.0,apple,wxga+,13.3,macbook air,1.3,4.0,1,0,1,1,128.0
999.0,asus,fhd,14.0,vivobook,1.8,8.0,1,0,1,1,256.0
849.0,acer,fhd,17.3,aspire,2.6,16.0,1,0,1,1,64.0
849.0,dell,fhd,13.3,inspiron,1.8,8.0,1,0,1,1,256.0
129.0,lenovo,hd,12.2,ideapad,1.8,2.0,1,0,1,1,64.0
2499.0,hp,fhd,15.6,zbook,2.9,16.0,1,0,1,1,512.0
699.0,aftershock,fhd,15.6,xg15-v2,2.4,8.0,1,0,1,1,512.0
619.0,apple,wxga+,13.3,macbook air,1.6,8.0,1,0,1,1,128.0
1999.0,apple,wqxga,15.4,macbook pro,2.8,16.0,1,0,1,1,256.0
999.0,apple,wqxga,13.3,macbook pro,2.9,8.0,1,0,1,1,512.0
1199.0,apple,wqxga,13.3,macbook pro,2.9,16.0,1,0,1,1,512.0
1149.0,apple,wqxga,15.4,macbook pro,2.0,8.0,1,0,1,1,256.0
3799.0,hp,fhd,15.6,zbook,2.6,32.0,1,0,1,1,256.0
1849.0,lenovo,uhd,14.0,yoga,1.8,16.0,1,0,1,1,256.0
799.0,lenovo,fhd,14.0,thinkpad,2.7,8.0,1,0,1,1,512.0
999.0,apple,wqxga,13.3,macbook pro,2.6,8.0,1,0,1,1,256.0
1299.0,apple,wqxga,13.3,macbook pro,3.1,8.0,1,0,1,1,256.0
199.0,microsoft,hd,10.6,surface,1.3,2.0,1,0,1,0,256.0
1349.0,apple,wqxga,13.3,macbook pro,2.3,8.0,1,0,1,1,256.0
949.0,apple,wqxga,13.3,macbook pro,2.7,8.0,1,0,1,1,128.0
999.0,apple,qhd,12.0,macbook,1.2,8.0,1,0,1,1,512.0
1499.0,apple,wqxga,15.4,macbook pro,2.2,16.0,1,0,1,1,256.0
1599.0,apple,wqxga,15.4,macbook pro,2.7,16.0,1,0,1,1,512.0
449.0,hp,hd,14.0,elitebook,2.6,8.0,1,0,1,1,256.0
429.0,dell,fhd,10.8,latitude,0.9,4.0,1,0,1,1,128.0
2249.0,apple,wqxga,15.4,macbook pro,2.9,16.0,1,0,1,1,512.0
1399.0,apple,wqxga,13.3,macbook pro,2.3,8.0,1,0,1,1,256.0
1099.0,apple,wqxga,13.3,macbook pro,2.9,8.0,1,0,1,1,512.0
699.0,apple,wxga+,13.3,macbook air,1.8,8.0,1,0,1,1,128.0
1699.0,apple,wqxga,13.3,macbook pro,3.1,8.0,1,0,1,1,512.0
2668.0,apple,wqxga,15.4,macbook pro,2.3,8.0,1,0,1,1,256.0
399.0,apple,wqxga,13.3,macbook pro,2.8,8.0,1,0,1,1,512.0
2699.0,hp,fhd,15.6,zbook,2.6,32.0,1,0,1,1,1000.0
1449.0,apple,qhd,12.0,macbook,1.3,8.0,1,0,1,1,512.0
799.0,acer,fhd+,12.2,switch,2.5,8.0,1,0,1,1,512.0
3599.0,hp,fhd,15.6,zbook,2.4,16.0,1,0,1,1,1000.0
949.0,acer,fhd,15.6,nitro,2.2,8.0,1,0,1,1,512.0
579.0,apple,wxga+,13.3,macbook air,1.3,4.0,1,0,1,1,512.0
649.0,apple,qhd,12.0,macbook,1.1,8.0,1,0,1,1,256.0
1149.0,razer,fhd,14.0,blade,2.8,16.0,1,0,1,1,512.0
599.0,hp,hd,14.0,elitebook,2.6,8.0,1,0,1,1,256.0
749.0,hp,fhd,15.6,pavilion,2.6,8.0,1,0,1,1,256.0
699.0,toshiba,hd,13.3,portege,2.1,16.0,1,0,1,1,256.0
849.0,apple,wqxga,13.3,macbook pro,2.4,4.0,1,0,1,1,256.0
1399.0,apple,wqxga,13.3,macbook pro,3.0,8.0,1,0,1,1,512.0
1799.0,microsoft,wqhd,12.3,surface,2.5,16.0,1,0,1,1,512.0
549.0,apple,wxga+,13.3,macbook air,1.4,4.0,1,0,1,1,256.0
1448.0,asus,fhd,14.0,zenbook,1.8,16.0,1,0,1,1,512.0
949.0,microsoft,wqhd,13.5,surface,2.6,8.0,1,1,0,1,256.0
1698.0,asus,fhd,14.0,zenbook,1.8,16.0,1,0,1,1,1000.0
849.0,gigabyte,fhd,14.0,p34,2.6,8.0,1,0,1,1,256.0
1349.0,asus,fhd,15.6,vivobook,2.6,16.0,1,0,1,1,512.0
1598.0,asus,fhd,13.3,zenbook,1.8,16.0,1,0,1,1,1000.0
1099.0,asus,fhd,15.6,fx502vm-dm266t,2.8,16.0,1,0,1,1,512.0
699.0,lenovo,fhd,13.3,thinkpad,2.5,8.0,1,0,1,1,512.0
649.0,hp,fhd,14.0,pavilion,2.5,8.0,1,0,1,1,256.0
2099.0,gigabyte,uhd,15.6,aero,2.6,16.0,1,0,1,1,512.0
1249.0,apple,wqxga,15.4,macbook pro,2.2,16.0,1,0,1,1,256.0
1449.0,lenovo,fhd,15.6,legion,2.2,16.0,1,0,1,1,512.0
949.0,lenovo,qhd,13.3,yoga,2.5,16.0,1,0,1,1,512.0
1949.0,gigabyte,uhd,15.6,aero,2.6,16.0,1,0,1,1,512.0
1649.0,lenovo,qhd,14.0,thinkpad,2.8,16.0,1,0,1,1,1000.0
1299.0,apple,wqxga,13.3,macbook pro,2.0,8.0,1,0,1,1,256.0
1199.0,apple,wqxga,13.3,macbook pro,2.9,8.0,1,0,1,1,256.0
1799.0,apple,wqxga,13.3,macbook pro,3.1,8.0,1,0,1,1,512.0
1899.0,apple,wqxga,15.4,macbook pro,2.7,16.0,1,0,1,1,512.0
1298.0,asus,fhd,14.0,zenbook,1.8,8.0,1,0,1,1,1000.0
199.0,microsoft,hd,10.6,surface,1.7,2.0,1,0,1,0,32.0
549.0,hp,hd,14.0,elitebook,2.6,8.0,1,0,1,1,256.0
449.0,fujitsu,hd,14.0,lifebook,2.1,4.0,1,1,0,1,500.0
699.0,lenovo,fhd,15.6,legion,2.8,16.0,1,0,1,1,256.0
575.0,acer,hd,14.0,travelmate,2.3,8.0,0,1,0,0,512.0
868.0,lenovo,fhd,12.5,thinkpad,1.7,8.0,0,0,1,1,256.0
469.0,hp,hd,12.5,elitebook,2.4,8.0,0,0,1,1,256.0
849.0,lenovo,fhd,14.0,thinkpad,2.6,16.0,0,0,1,1,256.0
1068.0,lenovo,fhd,14.0,thinkpad,1.7,8.0,0,0,1,1,256.0
399.0,hp,hd,12.5,elitebook,2.4,8.0,0,0,1,1,128.0
